party	answers
CDU/CSU	[-1, 1, -1, -1, 0, 1, -1, -1, -1, 0, -1, 1, -1, -1, 0, 1, 1, -1, 1, -1, 1, 0, 1, -1, -1, 0, 1, -1, 1, 1, 0, 0, 0, 1, 1, 0, -1, 1]
SPD	[1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 1, 1, 1, -1, -1, -1, 1, 1, -1, 1, 1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 1, 1, -1]
AfD	[-1, 1, -1, 1, -1, 1, -1, 1, 1, 1, 1, 1, -1, -1, -1, 1, 1, -1, 1, -1, 1, 1, 0, -1, 1, -1, -1, -1, 0, 1, -1, -1, -1, 1, 1, -1, -1, 1]
FDP	[-1, 1, 1, 0, -1, 1, 0, -1, 0, -1, -1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, -1, -1, 1, -1, -1, 1, -1, 1, 0, 1, 1, -1, -1, 0]
DIE LINKE	[1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, -1, 1, 1, 1, 0, -1, 1, -1, 1, 1, -1, -1, 1, -1, 1, -1, 1, -1, -1, 1, 1, 0, -1, -1, 1, 1, -1]
GRÜNE	[1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, -1, 1, 1, 1, -1, -1, 1, -1, 1, 1, 1, 1, 1, -1, 1, 1, 1, -1, 0, 1, 1, 1, 0, -1, 1, 1, -1]
FREIE WÄHLER	[-1, 1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, 0, 1, 0, -1, -1, 1, 1, 0, 1, 1]
Die PARTEI	[1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, -1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1, -1]
Tierschutzpartei	[1, -1, 1, -1, 1, -1, 1, 1, -1, 0, -1, 0, 0, 1, 1, -1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, -1, 1, -1, 1, 1, 1, 1, 0, -1, 1, 1, -1]
NPD	[-1, 1, -1, 1, 0, -1, -1, 1, 1, 1, 1, -1, 1, -1, -1, 1, -1, -1, 1, 1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, 0, 1, 1, 1, 1]
PIRATEN	[-1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1, 1, 0, -1, 1, 0, 1, 1, 1, 1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 1, 1, -1, 1, 1, 1]
